id,reviews_title,reviews_rating,brand,reviews_text,reviews_date,reviews_username
AV1YE_muvKc47QAVgpwE,Best stream box,5,Amazon Fire Tv,This is by far the best stream box I own. Besides being a premium Amazon memeber makes this even better.,2017-06-15T00:00:00.000Z,Jpbeejay
AVpf_4sUilAPnD_xlwYV,What can one say. It charges my Kindle.,5,Amazon,What can one say. It charges my Kindle.,2015-08-23T00:00:00Z,Stefano
AVpjEN4jLJeJML43rpUe,Great for Kids & Reading,5,Amazon,Got for reading Amazon books. Works great. Would recommend.,2017-03-13T00:00:00.000Z,croger1998
AVphgVaX1cnluZ0-DR74,Great tablet for the money,5,Amazon,"The Amazon Fire 7 tablet is a great tablet for the money (Got it during Black Friday for $35, but even at $50 is still a good deal). You can get most apps on the Amazon Underground store for free, and most add-ons for the apps are even free, compared to .99 cents each for apple devices. Only drawback for my preference, is that there isn't a facetime app to videochat with other Apple device users with. Other than that, pretty much any other iOS app is available for the Amazon Fire. Videos play very well, not HD quality, but not bad either. This is a great tablet for anyone looking for a portable device to browse the internet, check emails, facebook, etc, and for the price, it can't be matched by any other tablet on the market.",2015-12-28T00:00:00.000Z,SmartShopper
AVphgVaX1cnluZ0-DR74,Worth every penny,5,Amazon,Love this product! Takes clear photos. Easy access to internet. Tons of apps to choose from. Everything you could need in a tablet is here!,2015-11-21T00:00:00.000Z,Britt
AV1YnR7wglJLPUi8IJmi,Great,5,Amazon,"My child enjoys it all the time. Games, videos etc",2017-08-17T00:00:00.000Z,JPace
AV1YE_muvKc47QAVgpwE,Great TV connection alternative,5,Amazon Fire Tv,This works just as advertised. Wonderful to use this in an another room.,2016-02-26T00:00:00.000Z,WyoRon
AV1YE_muvKc47QAVgpwE,More then we expected,5,Amazon Fire Tv,We really enjoy it. Bought it to watch our slingbox but we have found tons of extra content that we really enjoy,2016-06-06T00:00:00.000Z,rando
AV1YnRtnglJLPUi8IJmV,Best Kindle yet,5,Amazon,Small but meaningful software improvements and a screen as good as the Voyager make this hands down the best value in the Kindle line.,2015-11-27T00:00:00.000Z,mruhlenberg
AV1YnRtnglJLPUi8IJmV,Good book reader,4,Amazon,"I do most of my E-reading when we travel. I always used my I Pad, but finally replaced that with the Kindle (for reading). Nice to be able to read in the sunlight, which is not possible with the IPad. The light is also not as harsh as the IPad when reading at night. So now I travel with both.",2017-01-23T00:00:00.000Z,chief
AV1YE_muvKc47QAVgpwE,Great product,5,Amazon Fire Tv,This is a fantastic product. Picture quality is awesome. Increased our internet speed so hardly an buffering. Much faster than the stick.,2017-02-13T00:00:00.000Z,Jeter
AVqkIhwDv8e3D1O-lebb,Great reader,5,Amazon,It was by far the best deal out there for the money very happy,2016-12-07T00:00:00.000Z,Billie
AVpfl8cLLJeJML43AE3S,Great Sound,5,Amazon,I love the Amazon Echo. It has great sound for playing music and I use it every day!!,2017-08-26T00:00:00.000Z,Beannie
